# run_name: boltzmann_run1_400
# timestamp: 20260809_235745
# ---- config ----
# goal_position: (20, 0, -3)
# start_position: (0, 0, -3)
# max_episode_steps: 150
# dt: 0.5
# speed: 2.0
# state_dim: 20
# action_dim: 27
# lr: 0.0001
# gamma: 0.99
# buffer_capacity: 1000000
# batch_size: 32
# epsilon_start: 1.0
# epsilon_end: 0.2
# epsilon_decay_steps: 24000
# target_update_freq: 250
# use_double: True
# use_dueling: True
# ----------------
episode,reward,avg10,success_rate10,steps,epsilon,elapsed_min,is_success,is_crash,is_out_of_bounds,is_timeout
182,2.1646,-6.1919,0.0,150,0.202,275.06,False,False,False,True
183,-10.5259,-7.1071,0.0,150,0.2,276.78,False,False,False,True
184,-3.1086,-7.2225,0.0,150,0.2,278.49,False,False,False,True
185,-3.9685,-7.3579,0.0,150,0.2,280.21,False,False,False,True
186,-7.0496,-6.3746,0.0,150,0.2,281.92,False,False,False,True
187,-17.0184,-7.5531,0.0,150,0.2,283.63,False,False,False,True
188,-14.9677,-8.6753,0.0,150,0.2,285.35,False,False,False,True
189,-9.0013,-7.9985,0.0,150,0.2,287.07,False,False,False,True
190,-2.6947,-7.5293,0.0,150,0.2,288.78,False,False,False,True
191,-4.4241,-7.0594,0.0,150,0.2,290.5,False,False,False,True
192,0.2851,-7.2474,0.0,150,0.2,292.21,False,False,False,True
193,-7.273,-6.9221,0.0,150,0.2,293.92,False,False,False,True
194,1.0034,-6.5109,0.0,150,0.2,295.64,False,False,False,True
195,-4.2384,-6.5379,0.0,150,0.2,297.35,False,False,False,True
196,-12.3427,-7.0672,0.0,150,0.2,299.07,False,False,False,True
197,-7.0411,-6.0694,0.0,150,0.2,300.78,False,False,False,True
198,-8.6204,-5.4347,0.0,150,0.2,302.5,False,False,False,True
199,-12.3955,-5.7741,0.0,150,0.2,304.21,False,False,False,True
200,-1.2539,-5.6301,0.0,28,0.2,304.57,False,False,True,False
201,-5.4133,-5.729,0.0,150,0.2,306.28,False,False,False,True
202,-14.1465,-7.1721,0.0,150,0.2,308.0,False,False,False,True
203,-6.8721,-7.132,0.0,43,0.2,308.52,False,False,True,False
204,-7.9425,-8.0266,0.0,150,0.2,310.24,False,False,False,True
205,-4.1351,-8.0163,0.0,150,0.2,311.95,False,False,False,True
206,-4.6201,-7.2441,0.0,150,0.2,313.66,False,False,False,True
207,-7.5175,-7.2917,0.0,150,0.2,315.38,False,False,False,True
208,-7.1713,-7.1468,0.0,150,0.2,317.09,False,False,False,True
209,-1.2316,-6.0304,0.0,23,0.2,317.4,False,False,True,False
210,0.2828,-5.8767,0.0,150,0.2,319.11,False,False,False,True
211,3.2388,-5.0115,0.0,31,0.2,319.5,False,False,True,False
212,-12.9517,-4.892,0.0,150,0.2,321.21,False,False,False,True
213,-6.5677,-4.8616,0.0,31,0.2,321.6,False,False,True,False
214,-4.4574,-4.5131,0.0,150,0.2,323.32,False,False,False,True
215,-7.3827,-4.8379,0.0,150,0.2,325.03,False,False,False,True
216,-8.7336,-5.2492,0.0,150,0.2,326.75,False,False,False,True
217,-4.1143,-4.9089,0.0,150,0.2,328.46,False,False,False,True
218,-6.0505,-4.7968,0.0,150,0.2,330.18,False,False,False,True
219,-2.6936,-4.943,0.0,150,0.2,331.89,False,False,False,True
220,-6.1046,-5.5817,0.0,150,0.2,333.61,False,False,False,True
221,-10.4111,-6.9467,0.0,150,0.2,335.32,False,False,False,True
222,0.9969,-5.5519,0.0,150,0.2,337.04,False,False,False,True
223,-2.3886,-5.1339,0.0,150,0.2,338.75,False,False,False,True
224,-2.1388,-4.9021,0.0,150,0.2,340.47,False,False,False,True
225,-14.1155,-5.5754,0.0,150,0.2,342.18,False,False,False,True
226,-10.5332,-5.7553,0.0,150,0.2,343.89,False,False,False,True
227,-4.9781,-5.8417,0.0,150,0.2,345.61,False,False,False,True
228,-8.5133,-6.088,0.0,150,0.2,347.32,False,False,False,True
229,-3.2906,-6.1477,0.0,150,0.2,349.04,False,False,False,True
230,-10.3088,-6.5681,0.0,150,0.2,350.75,False,False,False,True
231,-20.7993,-7.6069,0.0,150,0.2,352.47,False,False,False,True
232,-2.2801,-7.9346,0.0,150,0.2,354.18,False,False,False,True
233,-17.3285,-9.4286,0.0,150,0.2,355.9,False,False,False,True
234,-4.3604,-9.6508,0.0,150,0.2,357.61,False,False,False,True
235,-3.0439,-8.5436,0.0,14,0.2,357.81,False,False,True,False
236,-5.0456,-7.9949,0.0,150,0.2,359.53,False,False,False,True
237,-4.9825,-7.9953,0.0,150,0.2,361.24,False,False,False,True
238,-4.0232,-7.5463,0.0,150,0.2,362.96,False,False,False,True
239,-13.171,-8.5343,0.0,150,0.2,364.67,False,False,False,True
240,-6.56,-8.1595,0.0,150,0.2,366.39,False,False,False,True
241,-7.799,-6.8594,0.0,150,0.2,368.14,False,False,False,True
242,-0.6933,-6.7008,0.0,150,0.2,369.85,False,False,False,True
243,-3.5056,-5.3185,0.0,150,0.2,371.57,False,False,False,True
244,-8.5887,-5.7413,0.0,150,0.2,373.28,False,False,False,True
245,-6.9071,-6.1276,0.0,150,0.2,374.99,False,False,False,True
246,-3.4691,-5.9699,0.0,150,0.2,376.71,False,False,False,True
247,-10.652,-6.5369,0.0,150,0.2,378.43,False,False,False,True
248,-6.5583,-6.7904,0.0,150,0.2,380.14,False,False,False,True
249,-8.5609,-6.3294,0.0,150,0.2,381.85,False,False,False,True
250,-7.9565,-6.469,0.0,150,0.2,383.57,False,False,False,True
251,-14.7093,-7.1601,0.0,150,0.2,385.28,False,False,False,True
252,-6.2909,-7.7198,0.0,150,0.2,387.0,False,False,False,True
253,-9.1822,-8.2875,0.0,150,0.2,388.71,False,False,False,True
254,-4.2009,-7.8487,0.0,150,0.2,390.43,False,False,False,True
255,-4.1411,-7.5721,0.0,150,0.2,392.14,False,False,False,True
256,-17.7437,-8.9996,0.0,150,0.2,393.86,False,False,False,True
257,-4.6022,-8.3946,0.0,150,0.2,395.57,False,False,False,True
258,-13.736,-9.1124,0.0,150,0.2,397.29,False,False,False,True
259,8.3683,-7.4195,10.0,117,0.2,398.63,True,False,False,False
260,-5.4529,-7.1691,10.0,150,0.2,400.35,False,False,False,True
261,-7.1287,-6.411,10.0,150,0.2,402.06,False,False,False,True
262,-2.6435,-6.0463,10.0,150,0.2,403.78,False,False,False,True
263,-1.5384,-5.2819,10.0,150,0.2,405.49,False,False,False,True
264,-9.3215,-5.794,10.0,150,0.2,407.21,False,False,False,True
265,-6.2092,-6.0008,10.0,150,0.2,408.92,False,False,False,True
266,-1.6497,-4.3914,10.0,150,0.2,410.64,False,False,False,True
267,-7.4451,-4.6757,10.0,150,0.2,412.35,False,False,False,True
268,-7.1228,-4.0144,10.0,150,0.2,414.07,False,False,False,True
269,-14.5167,-6.3029,0.0,150,0.2,415.78,False,False,False,True
270,-3.3514,-6.0927,0.0,150,0.2,417.5,False,False,False,True
271,-2.1577,-5.5956,0.0,150,0.2,419.21,False,False,False,True
272,-18.5068,-7.1819,0.0,150,0.2,420.93,False,False,False,True
273,-8.8527,-7.9134,0.0,150,0.2,422.64,False,False,False,True
274,-5.65,-7.5462,0.0,150,0.2,424.36,False,False,False,True
275,-6.8318,-7.6085,0.0,150,0.2,426.07,False,False,False,True
276,1.7879,-7.2647,0.0,150,0.2,427.79,False,False,False,True
277,-12.9722,-7.8174,0.0,150,0.2,429.5,False,False,False,True
278,-2.8202,-7.3872,0.0,10,0.2,429.66,False,False,True,False
279,-4.6351,-6.399,0.0,150,0.2,431.37,False,False,False,True
280,-7.4134,-6.8052,0.0,150,0.2,433.09,False,False,False,True
281,-10.1019,-7.5996,0.0,150,0.2,434.8,False,False,False,True
282,0.0307,-5.7459,0.0,150,0.2,436.52,False,False,False,True
283,-8.799,-5.7405,0.0,150,0.2,438.23,False,False,False,True
284,-11.4908,-6.3246,0.0,150,0.2,439.94,False,False,False,True
285,-6.2236,-6.2637,0.0,150,0.2,441.66,False,False,False,True
286,-5.6581,-7.0083,0.0,150,0.2,443.38,False,False,False,True
287,-7.1959,-6.4307,0.0,150,0.2,445.09,False,False,False,True
288,-7.3193,-6.8806,0.0,150,0.2,446.8,False,False,False,True
289,2.6255,-6.1546,0.0,104,0.2,448.01,False,False,True,False
290,-6.3376,-6.047,0.0,150,0.2,449.72,False,False,False,True
291,-16.2665,-6.6635,0.0,150,0.2,451.44,False,False,False,True
292,-0.7873,-6.7453,0.0,150,0.2,453.15,False,False,False,True
293,-8.2424,-6.6896,0.0,150,0.2,454.87,False,False,False,True
294,-6.294,-6.1699,0.0,150,0.2,456.58,False,False,False,True
295,-5.8417,-6.1317,0.0,150,0.2,458.3,False,False,False,True
296,-8.1318,-6.3791,0.0,150,0.2,460.01,False,False,False,True
297,-15.397,-7.1992,0.0,150,0.2,461.73,False,False,False,True
298,-8.985,-7.3658,0.0,150,0.2,463.44,False,False,False,True
299,-1.176,-7.7459,0.0,25,0.2,463.76,False,False,True,False
300,-0.5625,-7.1684,0.0,150,0.2,465.48,False,False,False,True
301,-13.8488,-6.9266,0.0,150,0.2,467.2,False,False,False,True
302,-6.3707,-7.485,0.0,150,0.2,468.91,False,False,False,True
303,2.6642,-6.3943,0.0,150,0.2,470.63,False,False,False,True
304,-7.7583,-6.5408,0.0,150,0.2,472.35,False,False,False,True
305,-3.6243,-6.319,0.0,150,0.2,474.06,False,False,False,True
306,-2.6002,-5.7659,0.0,150,0.2,475.78,False,False,False,True
307,5.7401,-3.6522,0.0,32,0.2,476.18,False,False,True,False
308,-1.8792,-2.9416,0.0,150,0.2,477.9,False,False,False,True
309,-11.8368,-4.0077,0.0,150,0.2,479.61,False,False,False,True
310,3.715,-3.5799,0.0,150,0.2,481.33,False,False,False,True
311,0.8568,-2.1094,0.0,25,0.2,481.65,False,False,True,False
312,-3.4562,-1.8179,0.0,150,0.2,483.37,False,False,False,True
313,-0.4315,-2.1275,0.0,150,0.2,485.08,False,False,False,True
314,4.5611,-0.8955,0.0,28,0.2,485.44,False,False,True,False
315,-8.0567,-1.3388,0.0,150,0.2,487.16,False,False,False,True
